date,platform,post_type,likes,shares,comments,views,platform_encoded,post_type_encoded,year,month,day_of_week,week_of_year
11/8/2022,Instagram,text,452,877,335,7517,1,2,2022,11,1,45
11/8/2022,Twitter,video,1244,669,396,9416,0,1,2022,11,1,45
11/9/2022,Facebook,video,457,319,492,4349,2,1,2022,11,2,45
11/9/2022,Twitter,image,2156,421,476,4279,0,0,2022,11,2,45
11/9/2022,Facebook,text,1782,653,395,8650,2,2,2022,11,2,45
11/9/2022,Facebook,video,1168,708,488,9645,2,1,2022,11,2,45
11/9/2022,Twitter,image,789,117,106,8850,0,0,2022,11,2,45
11/9/2022,Facebook,video,918,252,157,6209,2,1,2022,11,2,45
11/9/2022,Instagram,video,2146,553,365,5307,1,1,2022,11,2,45
11/10/2022,Instagram,text,1324,398,238,4783,1,2,2022,11,3,45
11/10/2022,Instagram,video,1638,842,212,8164,1,1,2022,11,3,45
11/10/2022,Twitter,image,1154,708,273,6227,0,0,2022,11,3,45
11/11/2022,Twitter,image,1845,192,382,4115,0,0,2022,11,4,45
11/11/2022,Facebook,text,1059,676,157,9136,2,2,2022,11,4,45
11/11/2022,Facebook,text,1807,767,497,5650,2,2,2022,11,4,45
11/11/2022,Facebook,image,580,490,322,4267,2,0,2022,11,4,45
11/12/2022,Facebook,image,1436,835,264,6689,2,0,2022,11,5,45
11/12/2022,Twitter,image,766,424,162,9857,0,0,2022,11,5,45
11/12/2022,Instagram,image,1840,541,180,6885,1,0,2022,11,5,45
11/12/2022,Twitter,video,1746,450,273,6583,0,1,2022,11,5,45
11/12/2022,Instagram,image,1519,469,354,4050,1,0,2022,11,5,45
11/12/2022,Twitter,text,2012,287,215,9056,0,2,2022,11,5,45
11/12/2022,Instagram,image,1895,446,164,6831,1,0,2022,11,5,45
11/12/2022,Twitter,text,677,177,211,9726,0,2,2022,11,5,45
11/12/2022,Twitter,video,600,617,473,4243,0,1,2022,11,5,45
11/12/2022,Twitter,video,516,319,252,6815,0,1,2022,11,5,45
11/13/2022,Instagram,image,2064,885,106,4295,1,0,2022,11,6,45
11/13/2022,Instagram,image,2166,254,342,4229,1,0,2022,11,6,45
11/13/2022,Facebook,video,1813,584,497,6216,2,1,2022,11,6,45
11/13/2022,Twitter,video,423,458,230,6681,0,1,2022,11,6,45
11/13/2022,Twitter,image,1652,891,410,8741,0,0,2022,11,6,45
11/13/2022,Facebook,text,570,452,196,9186,2,2,2022,11,6,45
11/13/2022,Facebook,video,2030,539,206,4209,2,1,2022,11,6,45
11/13/2022,Facebook,image,2115,474,455,7908,2,0,2022,11,6,45
11/13/2022,Facebook,text,1533,845,108,7910,2,2,2022,11,6,45
11/13/2022,Instagram,video,2006,193,335,7099,1,1,2022,11,6,45
11/14/2022,Instagram,image,2112,374,316,5929,1,0,2022,11,0,46
11/14/2022,Instagram,image,785,616,453,4486,1,0,2022,11,0,46
11/14/2022,Twitter,video,1783,543,255,6413,0,1,2022,11,0,46
11/14/2022,Instagram,image,474,817,479,6768,1,0,2022,11,0,46
11/14/2022,Facebook,text,2105,899,290,6528,2,2,2022,11,0,46
11/14/2022,Instagram,text,1118,734,367,8681,1,2,2022,11,0,46
11/15/2022,Instagram,text,1549,809,457,5942,1,2,2022,11,1,46
11/15/2022,Facebook,text,466,686,463,4594,2,2,2022,11,1,46
11/15/2022,Facebook,text,600,578,374,5558,2,2,2022,11,1,46
11/15/2022,Facebook,text,817,575,171,5881,2,2,2022,11,1,46
11/15/2022,Instagram,text,870,348,291,7667,1,2,2022,11,1,46
11/15/2022,Instagram,video,2095,306,111,7716,1,1,2022,11,1,46
11/15/2022,Instagram,text,1383,349,332,6486,1,2,2022,11,1,46
11/16/2022,Instagram,text,1328,726,470,6454,1,2,2022,11,2,46
11/16/2022,Facebook,text,1861,169,441,7547,2,2,2022,11,2,46
11/16/2022,Facebook,text,1996,795,142,7884,2,2,2022,11,2,46
11/16/2022,Instagram,video,448,640,185,9981,1,1,2022,11,2,46
11/16/2022,Facebook,image,961,262,350,7459,2,0,2022,11,2,46
11/16/2022,Facebook,text,974,367,253,4112,2,2,2022,11,2,46
11/16/2022,Facebook,text,1906,852,343,5595,2,2,2022,11,2,46
11/17/2022,Instagram,text,1292,751,201,6506,1,2,2022,11,3,46
11/17/2022,Instagram,text,672,181,119,4265,1,2,2022,11,3,46
11/17/2022,Instagram,video,1728,844,377,6945,1,1,2022,11,3,46
11/17/2022,Facebook,text,832,213,482,9172,2,2,2022,11,3,46
11/18/2022,Twitter,text,805,602,137,6910,0,2,2022,11,4,46
11/18/2022,Twitter,text,1802,704,262,4169,0,2,2022,11,4,46
11/18/2022,Instagram,text,1181,168,444,7530,1,2,2022,11,4,46
11/18/2022,Facebook,image,1665,894,135,6442,2,0,2022,11,4,46
11/18/2022,Facebook,image,900,476,264,8481,2,0,2022,11,4,46
11/18/2022,Twitter,image,696,545,497,4837,0,0,2022,11,4,46
11/18/2022,Twitter,image,912,357,191,8977,0,0,2022,11,4,46
11/19/2022,Twitter,image,1580,270,382,9539,0,0,2022,11,5,46
11/19/2022,Facebook,video,1389,712,192,6896,2,1,2022,11,5,46
11/19/2022,Instagram,image,1716,549,122,8949,1,0,2022,11,5,46
11/19/2022,Instagram,video,751,116,270,8123,1,1,2022,11,5,46
11/19/2022,Facebook,video,988,662,110,8296,2,1,2022,11,5,46
11/20/2022,Twitter,video,1722,356,245,9310,0,1,2022,11,6,46
11/20/2022,Twitter,text,867,628,337,7523,0,2,2022,11,6,46
11/20/2022,Instagram,video,1929,136,245,8730,1,1,2022,11,6,46
11/20/2022,Facebook,image,1062,799,337,6440,2,0,2022,11,6,46
11/21/2022,Instagram,text,630,532,302,8841,1,2,2022,11,0,47
11/21/2022,Twitter,text,1814,754,185,4043,0,2,2022,11,0,47
11/21/2022,Instagram,image,898,792,104,9764,1,0,2022,11,0,47
11/22/2022,Twitter,image,717,875,228,4388,0,0,2022,11,1,47
11/22/2022,Facebook,image,1701,719,467,7982,2,0,2022,11,1,47
11/22/2022,Instagram,image,1888,464,105,4552,1,0,2022,11,1,47
11/22/2022,Twitter,image,1922,307,149,7533,0,0,2022,11,1,47
11/22/2022,Facebook,text,1284,805,188,6708,2,2,2022,11,1,47
11/22/2022,Twitter,image,1685,539,160,6594,0,0,2022,11,1,47
11/22/2022,Facebook,video,1825,186,252,6460,2,1,2022,11,1,47
11/22/2022,Facebook,image,447,131,365,5099,2,0,2022,11,1,47
11/22/2022,Instagram,image,1844,130,166,8228,1,0,2022,11,1,47
11/23/2022,Instagram,text,1438,536,350,7241,1,2,2022,11,2,47
11/23/2022,Instagram,video,1178,848,203,9207,1,1,2022,11,2,47
11/23/2022,Instagram,image,1261,542,364,8537,1,0,2022,11,2,47
11/23/2022,Twitter,text,1284,733,244,7352,0,2,2022,11,2,47
11/24/2022,Instagram,image,1200,675,325,4348,1,0,2022,11,3,47
11/24/2022,Twitter,video,2188,402,266,7059,0,1,2022,11,3,47
11/24/2022,Facebook,image,1169,311,265,8102,2,0,2022,11,3,47
11/24/2022,Facebook,video,767,259,289,8990,2,1,2022,11,3,47
11/24/2022,Facebook,image,889,162,314,8331,2,0,2022,11,3,47
11/24/2022,Facebook,video,1734,706,106,7745,2,1,2022,11,3,47
11/25/2022,Instagram,video,2045,482,109,8918,1,1,2022,11,4,47
11/25/2022,Instagram,text,2052,401,151,4692,1,2,2022,11,4,47
11/25/2022,Instagram,text,1835,434,343,6008,1,2,2022,11,4,47
11/26/2022,Facebook,video,1711,318,412,4018,2,1,2022,11,5,47
11/26/2022,Twitter,image,856,122,259,8274,0,0,2022,11,5,47
11/26/2022,Instagram,text,562,267,256,6301,1,2,2022,11,5,47
11/26/2022,Twitter,text,2082,465,177,9557,0,2,2022,11,5,47
11/27/2022,Facebook,video,1083,304,263,7889,2,1,2022,11,6,47
11/27/2022,Facebook,video,492,558,267,8274,2,1,2022,11,6,47
11/27/2022,Facebook,text,2155,128,148,7065,2,2,2022,11,6,47
11/28/2022,Instagram,image,756,149,150,4526,1,0,2022,11,0,48
11/28/2022,Twitter,image,953,806,474,8074,0,0,2022,11,0,48
11/28/2022,Twitter,image,1937,758,424,8152,0,0,2022,11,0,48
11/28/2022,Instagram,video,1932,691,425,4994,1,1,2022,11,0,48
11/28/2022,Twitter,text,1811,233,225,9796,0,2,2022,11,0,48
11/28/2022,Twitter,text,1162,342,280,7446,0,2,2022,11,0,48
11/28/2022,Twitter,image,1486,461,254,4442,0,0,2022,11,0,48
11/29/2022,Instagram,image,410,186,359,6355,1,0,2022,11,1,48
11/29/2022,Instagram,video,1320,395,218,9815,1,1,2022,11,1,48
11/29/2022,Instagram,text,1092,883,254,7294,1,2,2022,11,1,48
11/29/2022,Twitter,image,670,178,356,8318,0,0,2022,11,1,48
11/29/2022,Twitter,image,1915,153,110,5117,0,0,2022,11,1,48
11/30/2022,Facebook,image,1156,395,455,6757,2,0,2022,11,2,48
11/30/2022,Twitter,image,1910,530,431,4818,0,0,2022,11,2,48
11/30/2022,Facebook,text,1563,241,296,9807,2,2,2022,11,2,48
11/30/2022,Facebook,image,1175,611,183,5616,2,0,2022,11,2,48
11/30/2022,Instagram,text,1268,295,380,7415,1,2,2022,11,2,48
12/1/2022,Facebook,image,1568,311,467,7144,2,0,2022,12,3,48
12/1/2022,Facebook,video,1446,811,402,7306,2,1,2022,12,3,48
12/1/2022,Instagram,text,1011,380,174,8422,1,2,2022,12,3,48
12/1/2022,Instagram,image,840,786,416,8076,1,0,2022,12,3,48
12/1/2022,Twitter,image,1913,391,112,6221,0,0,2022,12,3,48
12/1/2022,Instagram,text,1242,683,125,4886,1,2,2022,12,3,48
12/1/2022,Twitter,image,454,465,335,8004,0,0,2022,12,3,48
12/2/2022,Twitter,video,867,343,331,5152,0,1,2022,12,4,48
12/2/2022,Twitter,video,992,877,241,6375,0,1,2022,12,4,48
12/2/2022,Facebook,video,2114,540,476,4921,2,1,2022,12,4,48
12/2/2022,Twitter,image,934,501,254,8947,0,0,2022,12,4,48
12/2/2022,Facebook,video,2115,364,462,8084,2,1,2022,12,4,48
12/2/2022,Instagram,image,1336,696,332,4127,1,0,2022,12,4,48
12/2/2022,Instagram,video,1855,578,334,5541,1,1,2022,12,4,48
12/3/2022,Facebook,text,1468,294,187,6256,2,2,2022,12,5,48
12/3/2022,Facebook,text,583,842,280,7639,2,2,2022,12,5,48
12/3/2022,Instagram,video,1096,577,107,6354,1,1,2022,12,5,48
12/3/2022,Twitter,image,1812,270,489,4038,0,0,2022,12,5,48
12/3/2022,Instagram,image,771,276,459,6118,1,0,2022,12,5,48
12/3/2022,Instagram,text,406,521,415,8467,1,2,2022,12,5,48
12/3/2022,Facebook,video,462,564,258,6522,2,1,2022,12,5,48
12/3/2022,Twitter,text,1385,579,134,7552,0,2,2022,12,5,48
12/4/2022,Twitter,text,1508,101,151,6543,0,2,2022,12,6,48
12/4/2022,Twitter,video,1374,880,285,7079,0,1,2022,12,6,48
12/4/2022,Twitter,video,981,318,438,6099,0,1,2022,12,6,48
12/4/2022,Twitter,video,784,525,461,4628,0,1,2022,12,6,48
12/5/2022,Facebook,image,1297,294,259,7699,2,0,2022,12,0,49
12/5/2022,Twitter,text,801,782,114,5396,0,2,2022,12,0,49
12/5/2022,Facebook,video,599,782,190,5729,2,1,2022,12,0,49
12/5/2022,Instagram,image,1067,355,372,8735,1,0,2022,12,0,49
12/5/2022,Twitter,text,792,745,432,6347,0,2,2022,12,0,49
12/6/2022,Instagram,text,2098,318,431,8962,1,2,2022,12,1,49
12/6/2022,Facebook,image,650,247,247,8841,2,0,2022,12,1,49
12/6/2022,Instagram,image,403,866,412,9538,1,0,2022,12,1,49
12/7/2022,Instagram,text,1558,231,124,9426,1,2,2022,12,2,49
12/7/2022,Twitter,video,1160,241,402,5805,0,1,2022,12,2,49
12/7/2022,Twitter,text,1662,229,453,9523,0,2,2022,12,2,49
12/7/2022,Instagram,text,784,310,435,6941,1,2,2022,12,2,49
12/7/2022,Twitter,video,803,860,190,9791,0,1,2022,12,2,49
12/7/2022,Twitter,image,796,462,286,9556,0,0,2022,12,2,49
12/7/2022,Facebook,image,1153,471,458,5196,2,0,2022,12,2,49
12/7/2022,Facebook,text,1609,804,267,6409,2,2,2022,12,2,49
12/7/2022,Twitter,text,1578,731,491,7528,0,2,2022,12,2,49
12/7/2022,Facebook,image,1738,654,327,5755,2,0,2022,12,2,49
12/7/2022,Twitter,video,1257,636,457,9449,0,1,2022,12,2,49
12/8/2022,Instagram,image,414,755,380,7846,1,0,2022,12,3,49
12/8/2022,Instagram,image,403,524,306,7570,1,0,2022,12,3,49
12/8/2022,Twitter,text,2039,524,186,8285,0,2,2022,12,3,49
12/8/2022,Instagram,image,851,161,426,4655,1,0,2022,12,3,49
12/8/2022,Facebook,video,618,865,436,8206,2,1,2022,12,3,49
12/8/2022,Facebook,image,640,308,373,9170,2,0,2022,12,3,49
12/9/2022,Facebook,text,1462,668,195,4786,2,2,2022,12,4,49
12/9/2022,Instagram,text,2134,785,293,7442,1,2,2022,12,4,49
12/9/2022,Facebook,text,683,870,395,7303,2,2,2022,12,4,49
12/9/2022,Facebook,image,1303,536,163,9396,2,0,2022,12,4,49
12/9/2022,Twitter,video,1852,296,144,6617,0,1,2022,12,4,49
12/9/2022,Twitter,image,570,837,374,8466,0,0,2022,12,4,49
12/9/2022,Twitter,image,1094,613,115,4716,0,0,2022,12,4,49
12/10/2022,Instagram,text,2077,617,395,7790,1,2,2022,12,5,49
12/10/2022,Twitter,text,572,334,468,8130,0,2,2022,12,5,49
12/10/2022,Instagram,text,746,157,193,4752,1,2,2022,12,5,49
12/10/2022,Instagram,image,1306,349,113,8678,1,0,2022,12,5,49
12/10/2022,Twitter,video,474,349,341,5496,0,1,2022,12,5,49
12/10/2022,Twitter,text,605,531,316,9622,0,2,2022,12,5,49
12/11/2022,Facebook,image,887,182,172,4843,2,0,2022,12,6,49
12/11/2022,Twitter,video,1241,261,343,4485,0,1,2022,12,6,49
12/11/2022,Instagram,image,1401,332,341,5814,1,0,2022,12,6,49
12/11/2022,Twitter,text,1032,139,305,6172,0,2,2022,12,6,49
12/12/2022,Facebook,text,1042,821,495,9099,2,2,2022,12,0,50
12/12/2022,Instagram,video,945,202,426,8876,1,1,2022,12,0,50
12/12/2022,Instagram,video,786,353,358,6863,1,1,2022,12,0,50
12/12/2022,Instagram,image,1160,224,454,4287,1,0,2022,12,0,50
12/12/2022,Twitter,text,948,795,485,9737,0,2,2022,12,0,50
12/13/2022,Twitter,video,2021,107,490,8040,0,1,2022,12,1,50
12/13/2022,Facebook,text,1974,886,393,7712,2,2,2022,12,1,50
12/13/2022,Instagram,video,1437,687,212,4287,1,1,2022,12,1,50
12/13/2022,Twitter,text,988,574,181,5581,0,2,2022,12,1,50
12/13/2022,Twitter,text,1158,779,260,7984,0,2,2022,12,1,50
12/13/2022,Facebook,video,1161,802,441,8556,2,1,2022,12,1,50
12/13/2022,Facebook,image,1713,468,425,5045,2,0,2022,12,1,50
12/14/2022,Instagram,text,1207,149,210,9307,1,2,2022,12,2,50
12/14/2022,Facebook,video,1437,215,441,7219,2,1,2022,12,2,50
12/15/2022,Instagram,image,2099,301,391,5019,1,0,2022,12,3,50
12/15/2022,Facebook,text,2140,360,317,5779,2,2,2022,12,3,50
12/15/2022,Instagram,video,1371,125,235,7774,1,1,2022,12,3,50
12/15/2022,Instagram,video,1784,792,256,4602,1,1,2022,12,3,50
12/15/2022,Twitter,text,1785,644,225,9243,0,2,2022,12,3,50
12/16/2022,Twitter,image,955,675,330,5736,0,0,2022,12,4,50
12/16/2022,Twitter,video,738,382,207,6090,0,1,2022,12,4,50
12/16/2022,Twitter,text,473,884,432,7694,0,2,2022,12,4,50
12/16/2022,Twitter,text,1893,823,152,9659,0,2,2022,12,4,50
12/16/2022,Facebook,image,1746,324,491,8531,2,0,2022,12,4,50
12/16/2022,Twitter,text,924,707,373,6946,0,2,2022,12,4,50
12/16/2022,Instagram,text,1943,632,179,8109,1,2,2022,12,4,50
12/16/2022,Facebook,image,1957,136,119,5049,2,0,2022,12,4,50
12/16/2022,Facebook,image,1108,522,450,9689,2,0,2022,12,4,50
12/17/2022,Instagram,image,1964,491,500,4621,1,0,2022,12,5,50
12/17/2022,Instagram,video,519,848,298,9110,1,1,2022,12,5,50
12/17/2022,Facebook,image,453,687,183,4714,2,0,2022,12,5,50
12/18/2022,Instagram,video,1769,882,289,5625,1,1,2022,12,6,50
12/18/2022,Instagram,text,1950,652,381,4503,1,2,2022,12,6,50
12/18/2022,Instagram,video,2168,819,167,8180,1,1,2022,12,6,50
12/18/2022,Instagram,video,786,350,237,5597,1,1,2022,12,6,50
12/18/2022,Twitter,text,1028,511,230,4993,0,2,2022,12,6,50
12/18/2022,Instagram,video,1210,325,140,5150,1,1,2022,12,6,50
12/18/2022,Instagram,video,1778,204,447,9218,1,1,2022,12,6,50
12/19/2022,Instagram,video,829,636,336,6488,1,1,2022,12,0,51
